type,organization,location,days_hours,contact_info,areas_served,eligibility,notes_specifics,links_(english),links_(spanish),verification_method,include_in_pdf
Housing,Fair Oaks Community Center,"2600 Middlefield Rd., Redwood City",NA,(650) 780-7500,"Redwood City, North Fair Oaks, Portola Valley, Woodside, Atherton",NA,"Housing resources, utilities assistance, short term rental, application for housing",http://ask.redwoodcity.org/TakeSurvey.aspx?SurveyID=l843lo5#,NA,NA,NA
Core Service Provider,Samaritan House,4031 Pacific Blvd San Mateo,NA,(650) 347-3648,"Belmont, Burlingame, Foster CIty, Hillsborough, Millbrae, San Mateo, San Carlos",NA,"Food, Housing, Case Management, Work Resource",https://samaritanhousesanmateo.org,https://samaritanhousesanmateo.org/find-help-necesita-ayuda/,NA,NA
Core Service Provider,Samaritan House - South,"1852 Bay Rd., East Palo Alto",NA,(650) 294-4312,"East Palo Alto, Menlo Park",NA,"Food, Housing, Case Management, Work Resource",https://samaritanhousesanmateo.org,NA,NA,NA
Core Service Provider,Glide Memorial United Methodist Church,"330 Ellis Street, San Francisco, CA","Monday - Sunday (7:30 am senior breakfast, 8:00 am general public breakfast) Monday - Friday (4:00 dinner)",(415) 674-6000,San Francisco,NA,"To-Go meals distributed outside until they run out.
Triage, Hygiene, Information and Referrals: Monday–Friday, 8:30 AM–5:00 PM (GLIDE Lobby)
Rental Assistance: Sign Up 1st Friday of each month at 9:00 AM (line begins at 8:30 AM). First 5 eligible clients will be enrolled.
You may also check in with the WIC staff to set up an appointment with a case manager. 
Syringe Access and Supplies: Monday–Friday, 9:00 AM – 5:00 PM (GLIDE Lobby)
HIV/Hep C/STI Testing: Monday–Friday, 2:00 PM – 4:00 PM (Check-In with SAS in the Lobby)",https://www.glide.org/covid19/,NA,NA,NA
Food,Ecumenical Hunger Program,2411 Pulgas Ave. East Palo Alto CA,"Tuesday - Thursday  10 am-12 pm, 2:30 pm - 4:30 pm",(650) 323-7781,East Palo Alto,NA,"Groceries. Open Monday, Thursday & Friday 10 am-12 pm  & 2:30 pm-4:30 pm
Wednesday 10 am - 12:00 pm & 2:30 pm-6:00 pm and every 3rd Saturday 11 am - 1 pm",https://www.ehpcares.org/,NA,NA,NA
Food,Family Harvest,"St. Samuel Church 1852 Bay Road, East Palo Alto, CA.",Tuesday 12 pm - 2 pm,650-779-4635,East Palo Alto,NA,NA,https://www.wehope.org/programs/family-harvest,NA,NA,NA
Food,Nuestra Casa,"1842 W. Bayshore Rd. 4 Newell Ct, East Palo Alto","1st and 3rd Sat, 1pm","Kim Ruiz, 650-330-7411","East Palo Alto, Redwood City, Menlo Park",NA,Groceries,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d3035b4d27021651d8e18/1585262646557/03262020_Food_English.pdf,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d305f971cba01a81aba4b/1585262687850/03262020_Food__Espanol.pdf,NA,NA
Food,Nuestra Casa,"1991 Manhattan Ave, East Palo Alto445 East O’Keefe St, East Palo Alto1928 Cooley Av, East Palo Alto","2nd and 4th Sat, 1pm","Kim Ruiz, 650-330-7412","East Palo Alto, Redwood City, Menlo Park",NA,Groceries,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d3035b4d27021651d8e18/1585262646557/03262020_Food_English.pdf,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d305f971cba01a81aba4b/1585262687850/03262020_Food__Espanol.pdf,NA,NA
Food,Nuestra Casa,"1805 E Bayshore Road #100, East Palo Alto","1st and 3rd Wed, 2-5pm","Kim Ruiz, 650-330-7413","East Palo Alto, Redwood City, Menlo Park",NA,Groceries,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d3035b4d27021651d8e18/1585262646557/03262020_Food_English.pdf,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d305f971cba01a81aba4b/1585262687850/03262020_Food__Espanol.pdf,NA,NA
Food,Nuestra Casa,"770 9th Avenue Redwood City, CA","2nd and 4th Wed, 2.30-5.30pm","Kim Ruiz, 650-330-7414","East Palo Alto, Redwood City, Menlo Park",NA,Groceries,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d3035b4d27021651d8e18/1585262646557/03262020_Food_English.pdf,https://static1.squarespace.com/static/5aa9e4bc25bf022c99d1226a/t/5e7d305f971cba01a81aba4b/1585262687850/03262020_Food__Espanol.pdf,NA,NA
