type,organization,location,days_hours,contact_info,areas_served,eligibility,notes_specifics,links_(english),links_(spanish),verification_method,include_in_pdf
Core Service Provider,West Valley Community Services,"10104 Vista Dr Cupertino, CA 95014","Monday - Friday 9 am - 5 pm (Emergency Funds) 10 am-12 pm, 2 - 4pm (Food Pack Pick-up)","408-366-6092 (Emergency Funds)
408-255-8033 (Food Packs)",Santa Clara County,NA,"Emergency Funds
*Documentation/application is required prior to visit. Email recert@wvcommunityservices.org or call 408-366-6092*

Prepared Food Packs
*clients must bring an ID 
(registration documents can be done prior to visit or on-site) call 408-255-8033*",https://www.wvcommunityservices.org/covid19help,NA,NA,NA
Food,Martha's Kitchen,"311 Willow Street San Jose, CA - 95110","4pm - 5pm (Tues, Weds) 8:30-9:00 am (Thurs)",(408) 293-6111,San Jose,NA,Meal service,https://www.marthas-kitchen.org/,NA,NA,NA
Food,African American Community Center,"304 N. 6th St. San Jose, CA - 95112","Friday, 12-2pm",(408) 292-3157,San Jose,NA,Emergency food basket and toiletries,http://www.sjaacsa.org,NA,NA,NA
Food,Goodwill Site - Loaves and Fishes Family Kitchen,"1080 North 7th Street, San Jose, CA 95112","Monday-Friday, 3.30-4.30pm",(408) 998-5774,San Jose,NA,"""To go"" meals",https://www.loavesfishes.org/,NA,NA,NA
Food,SJ Vietnamese Seventh Day Adventist Church - Loaves and Fishes Family Kitchen,"1066 South 2nd Street, San Jose, CA 95112","Monday-Friday, 4.30-5.30pm",(408) 998-5774,San Jose,NA,"""To go"" meals",https://www.loavesfishes.org/,NA,NA,NA
Food,Emmanuel House Salvation Army,"405 N. 4th St. San Jose, CA - 95112","Monday-Saturday (community meals), Monday - Friday (senior meals and emergency meals)",(408) 282-1175,San Jose,NA,"To-go meals, most are for homeless population but open to all.",https://siliconvalley.salvationarmy.org/silicon_valley/covid-19-response-and-news-updates,NA,NA,NA
Food,The Lord's Pantry,"121 South White, San Jose, CA 95127","Monday, Tuesday, Thursday, Friday: 9am-3pm Wednesday: 12:30pm-3pm",(408) 258-7563,East San Jose,NA,"On a monthly basis and by referral only, provides three to five days of groceries based on the size of the family. Homeless hygeine kits.",https://www.lordspantrygdlcsj.com/,NA,NA,NA
Food,Friendship Church of God in Christ,"1654 E. San Antonio Street San Jose, CA - 95116",NA,(408) 258-5445,San Jose,NA,NA,NA,NA,NA,NA
Food,Health Trust,Delivery only,Call or text anytime,408-455-5181,Santa Clara County,NA,Meal delivery. Residents of Santa Clara County can can call 408-961-9870 or email the Meals on Wheels program at MOW@healthtrust.org. Or text “GETFOOD” to 408-455-5181 for delivery from Second Harvest.,https://healthtrust.org/covid-19/,NA,NA,NA
Food,Santa Maria Urban Ministry,"South Almaden Avenue, San Jose, CA 95110","Monday-Friday, 1st and 3rd Saturday of every month; 9-11:45am",(408) 292-3314,San Jose,NA,Emergency food distribution.,https://www.santamariasj.org/,https://es.santamariasj.org/,NA,NA
Food,Hope’s Corner,"748 Mercy St., Mountain View","Saturday, 8-10am",650-254-1450.,Mountain View,NA,Breakfast and lunch are offered as “To Go” boxed meals.,http://www.hopes-corner.org/,NA,NA,NA
Food,La Comida-Stevenson,"455 East Charleston Road, Palo Alto, CA 94306","Monday-Friday, 11:15-12:15pm",(650) 322-3742,Palo Alto,NA,Prepared Meals. Open to seniors only,https://www.lacomida.org/,NA,NA,NA
Food,La Comida-Masonic Temple,"461 Florence Street Palo Alto, CA 94301","Monday-Friday, 11:45-12:15pm",(650) 322-3742,Palo Alto,NA,Prepared Meals. Open to seniors only,https://www.lacomida.org/,NA,NA,NA
Food,Mission City Community Fund- Cabrillo Middle School,2550 Cabrillo Ave,"Thursday, 2-3.30pm",NA,Santa Clara County,NA,Breakfast and lunch bags for the weekend; KIDS only,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-senior-and-community-resources/healthy-meals-santa-clara,NA,NA,NA
Food,Mission City Community Fund- Don Callejon,4176 Lick Mill Blvd.,"Thursday, 2-3.30pm",NA,Santa Clara County,NA,Breakfast and lunch bags for the weekend for individuals 18 and under;,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-senior-and-community-resources/healthy-meals-santa-clara,NA,NA,NA
Food,Mission City Community Fund- Wilcox,3250 Monroe St.,"Thursday, 2-3.30pm",NA,Santa Clara County,NA,Breakfast and lunch bags for the weekend for individuals 18 and under,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-senior-and-community-resources/healthy-meals-santa-clara,NA,NA,NA
Food,Mission City Community Fund- Santa Clara Senior Center,1303 Fremont St.,"Thursday, 2-3.30pm",NA,Santa Clara County,NA,Breakfast and lunch bags for the weekend for individuals 18 and under,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-senior-and-community-resources/healthy-meals-santa-clara,NA,NA,NA
Food,Meals on Wheels- District 4,Delivery,Delivery,(408) 350-3246,"Japantown, Berryessa",NA,Weekly delivery of 7 breakfasts and 5 frozen lunch/dinner entrees + other foods for individuals 60+. In home assessment is required,https://www.sccgov.org/sites/ssa/daas/snp/Pages/hdm.aspx,NA,NA,NA
